id,pdiId,macroId,microcompetencia,titulo,descricao,prazo,status,createdAt,updatedAt,evidence_status
900313,1020028,210038,"Inovação, Criatividade e Visão Estratégica","Inovação, Criatividade e Visão Estratégica","- Qual a sugestão do que se deve fazer: Identificar oportunidades de melhoria e desenvolver visão estratégica. - Por que fazer: Para melhorar resultados e fortalecer a atuação profissional alinhada às necessidades do setor. - Como se deve fazer: Levantar dados e analisar processos e indicadores internos. - Onde se pode fazer (quais as sugestões): No próprio setor de trabalho, observando rotinas e resultados. - Como comprovar que fez: Relatório ou proposta formal apresentada à liderança.",2026-05-31 00:00:00,concluida,2026-02-03 00:05:03,2026-03-04 21:16:36,sem_evidencia
900315,1020028,210003,Atendimento e Relacionamento com o Cliente,Atendimento e Relacionamento com o Cliente,- Qual a sugestão do que se deve fazer: Levantar e analisar a percepção dos clientes sobre os serviços prestados. - Por que fazer: Para identificar pontos fortes e oportunidades de melhoria no atendimento. - Como se deve fazer: Aplicar pesquisas ou entrevistas e consolidar os resultados. - Onde se pode fazer (quais as sugestões): Com clientes atendidos e público-alvo dos projetos. - Como comprovar que fez: Relatório com resultados e plano de ação estruturado.,2026-05-31 00:00:00,concluida,2026-02-03 00:05:03,2026-03-09 18:01:55,sem_evidencia
900316,1020028,210031,Políticas Públicas e Desenvolvimento Territorial,Políticas Públicas e Desenvolvimento Territorial,"Descrição Detalhada:
O que fazer: Desenvolver conhecimentos sobre processos administrativos, licitações e uso de recursos públicos, ampliando a compreensão dos fluxos, normas e responsabilidades relacionadas à atuação em políticas públicas e desenvolvimento territorial. Por que fazer: Para garantir conformidade legal, segurança institucional e qualidade nas entregas, fortalecendo a atuação técnica e reduzindo riscos na execução de ações e projetos vinculados às políticas públicas. 


Como fazer: 
Participar de treinamentos, capacitações técnicas e estudos dirigidos sobre legislação, normas aplicáveis, processos administrativos e boas práticas relacionadas à gestão pública, com foco na aplicação prática dos conhecimentos no contexto institucional. 

Onde fazer: 
Cursos institucionais, formações internas, programas de capacitação corporativa e treinamentos promovidos por instituições públicas ou parceiras reconhecidas. 

Como comprovar: 
Apresentação de certificados de conclusão dos treinamentos realizados e registros de aplicação prática dos conhecimentos adquiridos nos processos, atividades ou projetos desenvolvidos.",2026-05-31 00:00:00,concluida,2026-02-03 00:05:03,2026-03-09 18:01:33,sem_evidencia
900318,1020044,210015,Visão Sistêmica com foco em Indicadores Estratégicos,Visão Sistêmica com foco em Indicadores Estratégicos,"- Qual a sugestão do que se deve fazer: Concluir a “Jornada Fundamental de Colaboradores” – Universidade Sebrae (Ação 01). - Por que fazer: Para alinhar atuação à missão, valores e princípios do Sebrae, apoiando decisões mais conectadas ao propósito institucional. - Como se deve fazer: Acessar a UC Sebrae; localizar a trilha; concluir módulos; anotar principais aprendizados. - Onde se pode fazer (quais as sugestões): UC Sebrae (plataforma) e apoio via Degreed Meta. - Como comprovar que fez: Certificado de conclusão + resumo com 5 aprendizados relevantes, validado pela liderança.",2026-05-31 00:00:00,nao_iniciada,2026-02-03 00:05:03,2026-02-05 15:37:59,sem_evidencia
900319,1020044,210015,Visão Sistêmica com foco em Indicadores Estratégicos,Visão Sistêmica com foco em Indicadores Estratégicos,"- Qual a sugestão do que se deve fazer: Realizar o curso “OKRs e Metodologias Ágeis na Prática” (Ação 01). - Por que fazer: Para fortalecer alinhamento com objetivos estratégicos e aumentar foco e consistência nas entregas por meio de OKRs. - Como se deve fazer: Fazer o curso completo na Degreed; definir 1 OKR pessoal para uma entrega específica; monitorar por 30 dias. - Onde se pode fazer (quais as sugestões): Degreed / UC Sebrae; apoio com artigo da UC Sebrae sobre OKRs. - Como comprovar que fez: Certificado do curso + painel de acompanhamento criado, validado pelo gestor.",2026-05-31 00:00:00,nao_iniciada,2026-02-03 00:05:03,2026-02-05 15:37:59,sem_evidencia
900320,1020044,210008,Presença Executiva,Presença Executiva,"- Qual a sugestão do que se deve fazer: Criar proposta de melhoria para o processo de divulgação de políticas internas (Ação 01). - Por que fazer: Para desenvolver protagonismo na proposição de melhorias com impacto institucional, transformando conhecimento técnico em valor organizacional. - Como se deve fazer: Identificar fragilidades do processo atual; conversar com 2 colegas de áreas distintas; elaborar proposta de melhoria baseada nas conversas. - Onde se pode fazer (quais as sugestões): No ambiente de trabalho, articulando com colegas e liderança; apoio com artigo da UC Sebrae indicado. - Como comprovar que fez: Documento enviado à liderança com problema, solução sugerida e impactos; validação obrigatória da liderança.",2026-05-31 00:00:00,nao_iniciada,2026-02-03 00:05:03,2026-02-05 15:37:59,sem_evidencia
900321,1020044,210004,"Ética, Integridade e Responsabilidade","Ética, Integridade e Responsabilidade","- Qual a sugestão do que se deve fazer: Realizar o curso “Gestão de Riscos e Controles Internos” – Enap (Ação 01). - Por que fazer: Para atualizar domínio em riscos, controles internos e compliance, com aplicação prática alinhada à administração pública. - Como se deve fazer: Acessar a Escola Virtual.Gov; concluir o curso; aplicar uma matriz de risco em processo da rotina. - Onde se pode fazer (quais as sugestões): Escola Virtual.Gov (Enap); material de apoio: Guia COSO ERM (PT). - Como comprovar que fez: Certificado do curso + matriz de risco desenvolvida, validada pela liderança.",2026-05-31 00:00:00,nao_iniciada,2026-02-03 00:05:03,2026-02-05 15:37:59,sem_evidencia
900322,1020044,210005,Inteligência Emocional e Autoconhecimento,Inteligência Emocional e Autoconhecimento,"- Qual a sugestão do que se deve fazer: Realizar o curso “Emoções no Trabalho: como gerenciá-las” – UC Sebrae (Ação 01). - Por que fazer: Para desenvolver autorregulação emocional e melhorar desempenho sob pressão, conflitos e críticas sem prejuízo na comunicação e resultados. - Como se deve fazer: Acessar a UC Sebrae via Degreed; concluir módulos; registrar 3 aprendizados aplicáveis à rotina. - Onde se pode fazer (quais as sugestões): UC Sebrae via Degreed; apoio com artigo “Gestão Emocional no Contexto Profissional” – UC Sebrae. - Como comprovar que fez: Certificado do curso + resumo com aprendizados aplicados na rotina; validação obrigatória da liderança.",2026-05-31 00:00:00,nao_iniciada,2026-02-03 00:05:03,2026-02-05 15:37:59,sem_evidencia
900323,1020044,210009,Gestão de Tempo,Gestão de Tempo,"- Qual a sugestão do que se deve fazer: Aplicar o método GTD (Getting Things Done) por 21 dias (Ação 01). - Por que fazer: Para organizar uma rotina com múltiplas frentes, controlar pendências e priorizar o que é essencial, reduzindo retrabalho. - Como se deve fazer: Ler/assistir um conteúdo introdutório; implementar as 5 etapas do GTD por 21 dias; manter checklist das tarefas capturadas, processadas e organizadas. - Onde se pode fazer (quais as sugestões): Na rotina diária de trabalho; apoio com livro “A Arte de Fazer Acontecer” (David Allen) e vídeo no YouTube sobre GTD. - Como comprovar que fez: Relatório com o checklist aplicado e ganhos percebidos na produtividade, com validação obrigatória da liderança.",2026-05-31 00:00:00,nao_iniciada,2026-02-03 00:05:03,2026-02-05 15:37:59,sem_evidencia
900324,1020044,210002,Comunicação Relacional,Comunicação Relacional,"- Qual a sugestão do que se deve fazer: Praticar Feedback Reverso com base na técnica “eu observo, eu sinto, eu preciso, eu proponho” (Ação 01). - Por que fazer: Para fortalecer empatia, escuta e posicionamento claro, reduzindo a tendência de evitar confrontos e hesitar em expor opiniões críticas. - Como se deve fazer: Estudar CNV (4 passos); convidar 2 colegas de áreas diferentes para dar feedback; ouvir, registrar pontos principais e responder usando os 4 passos da CNV. - Onde se pode fazer (quais as sugestões): No ambiente de trabalho com colegas de áreas diferentes; apoio com livro “Comunicação Não Violenta” (Biblioteca Sebrae) e artigo da UC Sebrae. - Como comprovar que fez: Relatório com registros dos feedbacks recebidos, resposta estruturada via CNV e principais aprendizados, com validação obrigatória da liderança.",2026-05-31 00:00:00,nao_iniciada,2026-02-03 00:05:03,2026-02-05 15:37:59,sem_evidencia
